Player,Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
Elina Svitolina,2019 Shenzhen Finals RR,W vsPliskova,22.8%,35.4%,50.0%,25.0%,40.4%,48.7%,50.0%,37.5%,0.0%,19.2%,26.9%,52.4%,8.3%,14.3%,-,-59
Elina Svitolina,2019 Moscow R16,L vsKudermetova,32.7%,35.7%,38.3%,42.6%,47.5%,40.0%,39.3%,18.2%,33.3%,19.4%,19.4%,36.0%,31.6%,8.3%,0.0%,68
Elina Svitolina,2019 Beijing QF,L vsBertens,15.3%,25.0%,50.0%,20.0%,35.0%,56.3%,60.0%,48.0%,0.0%,9.7%,12.9%,42.9%,0.0%,0.0%,0.0%,-66
Elina Svitolina,2019 Beijing R16,W vsKenin,30.7%,40.2%,54.1%,40.0%,53.8%,58.3%,48.6%,42.2%,71.4%,15.9%,18.2%,48.6%,0.0%,3.4%,0.0%,-27
Elina Svitolina,2019 Beijing R32,W vsWang,17.6%,25.9%,53.6%,21.2%,32.7%,58.5%,56.0%,40.7%,0.0%,12.5%,15.6%,46.4%,0.0%,17.4%,0.0%,-67
Elina Svitolina,2019 Beijing R64,W vsSevastova,13.5%,24.0%,57.7%,19.3%,35.1%,65.2%,45.8%,42.4%,50.0%,5.9%,8.8%,46.9%,0.0%,5.3%,0.0%,-60
Elina Svitolina,2019 Wuhan QF,L vsRiske Amritraj,23.2%,26.1%,33.3%,28.9%,34.2%,37.0%,40.0%,33.3%,28.6%,19.2%,19.2%,28.6%,0.0%,0.0%,0.0%,-18
Elina Svitolina,2019 Wuhan R16,W vsKuznetsova,19.1%,31.9%,65.7%,20.0%,40.0%,70.8%,30.8%,35.3%,-,21.4%,21.4%,54.5%,0.0%,25.0%,50.0%,84
Elina Svitolina,2019 Guangzhou R16,L vsBouzkova,18.6%,30.0%,52.0%,25.0%,50.0%,57.1%,46.7%,46.2%,66.7%,17.1%,20.0%,48.3%,0.0%,19.0%,0.0%,46
Elina Svitolina,2019 US Open SF,L vsWilliams,24.2%,27.4%,39.5%,35.0%,40.0%,34.6%,33.3%,36.8%,20.0%,5.6%,5.6%,47.1%,0.0%,30.0%,33.3%,-66
Elina Svitolina,2019 US Open QF,W vsKonta,18.8%,27.5%,51.8%,20.5%,33.3%,51.6%,55.6%,33.3%,0.0%,16.7%,20.0%,52.0%,7.7%,29.4%,0.0%,-104
Elina Svitolina,2019 US Open R16,W vsKeys,39.3%,48.2%,68.8%,42.5%,55.0%,87.0%,42.9%,52.6%,-,35.7%,35.7%,22.2%,0.0%,41.7%,-,47
Elina Svitolina,2019 US Open R128,W vsOsuigwe,18.9%,24.5%,51.2%,25.0%,31.3%,54.2%,40.0%,41.2%,50.0%,9.5%,14.3%,47.4%,0.0%,41.7%,0.0%,-104
Elina Svitolina,2019 Cincinnati R16,L vsKenin,26.2%,36.1%,44.2%,48.4%,64.5%,43.8%,56.3%,40.0%,0.0%,3.6%,7.1%,44.4%,0.0%,11.8%,0.0%,-80
Elina Svitolina,2019 Toronto  QF,L vsKenin,27.1%,32.9%,42.6%,38.6%,47.7%,40.7%,38.9%,23.1%,0.0%,9.1%,9.1%,45.0%,33.3%,7.7%,0.0%,-30
Elina Svitolina,2019 Toronto  R16,W vsBencic,35.6%,39.0%,37.8%,44.1%,50.0%,42.1%,46.7%,26.3%,25.0%,25.0%,25.0%,33.3%,18.2%,0.0%,0.0%,-56
Elina Svitolina,2019 Wimbledon SF,L vsHalep,13.0%,18.5%,38.3%,13.9%,22.2%,38.7%,44.4%,33.3%,0.0%,11.1%,11.1%,37.5%,12.5%,60.0%,100.0%,-104
Elina Svitolina,2019 Wimbledon QF,W vsMuchova,16.4%,20.9%,45.5%,23.7%,28.9%,48.3%,61.9%,70.6%,50.0%,7.1%,10.7%,42.3%,0.0%,38.9%,33.3%,-62
Elina Svitolina,2019 Wimbledon R16,W vsMartic,23.0%,28.4%,57.7%,34.0%,42.6%,74.2%,50.0%,42.9%,50.0%,4.5%,4.5%,33.3%,25.0%,64.3%,66.7%,-76
Elina Svitolina,2019 Wimbledon R32,W vsSakkari,21.0%,29.0%,48.1%,21.7%,33.3%,55.6%,61.3%,47.4%,20.0%,20.7%,20.7%,30.4%,76.9%,31.3%,-,-26
Elina Svitolina,2019 Wimbledon R64,W vsGasparyan,16.5%,27.5%,50.0%,19.7%,32.4%,54.4%,44.1%,40.5%,50.0%,5.0%,10.0%,36.8%,10.0%,30.0%,-,-104
Elina Svitolina,2019 Wimbledon R128,W vsSaville,30.4%,46.4%,52.6%,32.4%,56.8%,60.0%,27.8%,36.8%,0.0%,27.8%,27.8%,38.5%,14.3%,27.3%,100.0%,-40
Elina Svitolina,2019 Birmingham R32,L vsGasparyan,23.8%,34.5%,44.1%,26.4%,39.6%,48.7%,44.0%,39.3%,33.3%,23.1%,30.8%,35.0%,0.0%,26.7%,0.0%,91
Elina Svitolina,2019 Roland Garros R128,W vsWilliams,10.3%,20.7%,50.0%,3.6%,17.9%,63.0%,26.7%,46.2%,50.0%,19.2%,26.9%,33.3%,20.0%,18.8%,-,21
Elina Svitolina,2019 Rome R32,L vsAzarenka,11.6%,13.7%,38.2%,14.5%,17.7%,50.9%,41.2%,42.9%,44.4%,8.0%,8.0%,8.7%,0.0%,43.8%,25.0%,-49
Elina Svitolina,2019 Miami R64,L vsWang,12.5%,20.8%,47.4%,17.5%,32.5%,57.6%,36.4%,61.1%,83.3%,7.7%,7.7%,33.3%,10.0%,68.8%,100.0%,-47
Elina Svitolina,2019 Indian Wells SF,L vsAndreescu,16.9%,19.1%,43.1%,20.0%,24.0%,45.0%,52.2%,40.7%,33.3%,13.5%,13.5%,40.6%,5.9%,35.0%,40.0%,-42
Elina Svitolina,2019 Indian Wells QF,W vsVondrousova,13.7%,17.6%,50.6%,13.9%,19.4%,59.7%,40.5%,37.1%,66.7%,13.8%,13.8%,28.0%,100.0%,5.6%,0.0%,-64
Elina Svitolina,2019 Indian Wells R16,W vsBarty,18.3%,26.0%,47.6%,21.1%,34.2%,53.3%,39.3%,54.2%,63.6%,15.7%,15.7%,39.5%,22.2%,62.5%,75.0%,-16
Elina Svitolina,2019 Indian Wells R64,W vsKenin,23.1%,31.7%,57.3%,30.9%,42.6%,63.8%,39.3%,50.0%,42.9%,9.7%,12.9%,46.4%,0.0%,46.7%,0.0%,-23
Elina Svitolina,2019 Dubai SF,L vsBencic,23.2%,34.7%,45.5%,32.8%,48.4%,48.8%,51.7%,45.7%,50.0%,4.2%,8.3%,39.1%,0.0%,16.7%,0.0%,-81
Elina Svitolina,2019 Dubai QF,W vsSuarez Navarro,18.6%,33.9%,56.5%,23.3%,40.0%,65.2%,61.5%,52.9%,-,14.8%,29.6%,47.8%,9.1%,43.8%,50.0%,-21
Elina Svitolina,2019 Dubai R16,W vsMuguruza,28.3%,34.8%,58.1%,30.4%,43.5%,50.0%,40.0%,69.2%,-,28.6%,28.6%,66.7%,0.0%,41.7%,-,1
Elina Svitolina,2019 Doha SF,L vsHalep,13.8%,25.5%,56.4%,18.5%,37.0%,59.1%,53.6%,42.3%,33.3%,8.1%,10.8%,52.9%,13.3%,36.4%,50.0%,-32
Elina Svitolina,2019 Doha QF,W vsMuchova,29.6%,40.7%,54.1%,32.4%,48.6%,68.0%,61.1%,57.9%,-,25.0%,25.0%,25.0%,0.0%,9.1%,100.0%,-33
Elina Svitolina,2019 Australian Open QF,L vsOsaka,17.3%,23.1%,37.5%,23.3%,30.0%,47.8%,30.8%,35.3%,28.6%,10.5%,15.8%,23.5%,0.0%,28.6%,0.0%,-14
Elina Svitolina,2019 Australian Open R16,W vsKeys,22.6%,29.8%,49.2%,23.6%,32.7%,57.1%,33.3%,50.0%,75.0%,24.0%,28.0%,31.6%,9.1%,42.9%,66.7%,62
Elina Svitolina,2019 Australian Open R32,W vsZhang,15.7%,21.6%,51.2%,25.0%,31.3%,50.0%,40.0%,27.6%,50.0%,0.0%,5.6%,52.8%,14.3%,36.4%,25.0%,-119
Elina Svitolina,2019 Australian Open R64,W vsHruncakova,36.4%,45.5%,61.8%,45.7%,57.1%,52.6%,8.3%,39.1%,50.0%,21.1%,26.3%,73.3%,0.0%,0.0%,0.0%,-43
Elina Svitolina,2019 Australian Open R128,W vsGolubic,26.4%,34.0%,51.4%,33.3%,39.4%,50.0%,66.7%,50.0%,0.0%,16.7%,27.8%,53.3%,16.7%,50.0%,-,17
Elina Svitolina,2018 Singapore F,W vsStephens,14.3%,17.9%,50.7%,18.5%,22.2%,56.8%,33.3%,50.0%,33.3%,6.9%,10.3%,40.7%,0.0%,61.1%,66.7%,-64
Elina Svitolina,2018 Singapore SF,W vsBertens,20.7%,25.6%,53.2%,23.9%,31.0%,55.6%,46.4%,48.8%,25.0%,16.7%,18.8%,50.0%,0.0%,77.3%,100.0%,-56
Elina Svitolina,2018 Singapore RR,W vsPliskova,26.9%,30.1%,42.4%,38.2%,43.6%,44.1%,42.3%,37.9%,57.1%,11.1%,11.1%,40.6%,0.0%,61.1%,100.0%,-40
Elina Svitolina,2018 Singapore RR,W vsKvitova,33.3%,36.5%,41.5%,39.0%,41.5%,36.0%,40.0%,38.1%,0.0%,23.8%,28.6%,50.0%,11.1%,8.3%,0.0%,-49
Elina Svitolina,2018 Singapore RR,W vsWozniacki,21.0%,27.0%,54.5%,23.8%,31.7%,64.6%,46.4%,48.6%,50.0%,17.1%,20.0%,37.9%,0.0%,41.2%,40.0%,-39
Elina Svitolina,2018 Wuhan R32,L vsSabalenka,27.5%,33.0%,42.4%,39.6%,47.2%,46.9%,55.6%,57.7%,100.0%,12.9%,16.1%,37.0%,0.0%,38.9%,60.0%,2
Elina Svitolina,2018 US Open R16,L vsSevastova,17.2%,18.8%,41.2%,20.0%,22.2%,47.2%,38.1%,33.3%,0.0%,11.8%,11.8%,26.7%,16.7%,63.6%,33.3%,2
Elina Svitolina,2018 US Open R64,W vsMaria,21.3%,48.9%,60.0%,27.6%,55.2%,71.4%,57.1%,73.3%,-,12.5%,43.8%,42.9%,16.7%,60.0%,-,9
Elina Svitolina,2018 Cincinnati QF,L vsBertens,22.4%,26.9%,40.4%,26.0%,32.0%,32.4%,36.0%,64.0%,66.7%,11.8%,11.8%,60.0%,0.0%,81.8%,100.0%,-104
Elina Svitolina,2018 Montreal SF,L vsStephens,18.2%,32.7%,44.2%,27.3%,42.4%,50.0%,38.9%,33.3%,20.0%,5.0%,20.0%,36.8%,0.0%,36.4%,100.0%,-66
Elina Svitolina,2018 Montreal QF,W vsMertens,21.2%,33.3%,53.2%,29.3%,46.3%,58.6%,31.6%,40.9%,50.0%,10.0%,15.0%,44.4%,0.0%,28.6%,50.0%,-27
Elina Svitolina,2018 Birmingham QF,L vsBuzarnescu,27.9%,41.0%,37.5%,29.3%,48.8%,48.3%,47.6%,70.0%,50.0%,31.3%,31.3%,9.1%,20.0%,9.1%,25.0%,137
Elina Svitolina,2018 Roland Garros R32,L vsBuzarnescu,25.9%,30.9%,37.3%,28.6%,34.7%,25.7%,26.1%,50.0%,37.5%,22.6%,25.8%,54.2%,42.9%,23.5%,0.0%,-66
Elina Svitolina,2018 Roland Garros R64,W vsHruncakova,29.9%,34.3%,51.1%,34.1%,41.5%,55.6%,47.6%,40.0%,50.0%,25.0%,25.0%,44.4%,11.1%,66.7%,66.7%,-11
Elina Svitolina,2018 Rome F,W vsHalep,20.5%,29.5%,70.6%,25.9%,37.0%,75.0%,53.3%,50.0%,-,12.5%,18.8%,64.3%,0.0%,58.3%,-,-33
Elina Svitolina,2018 Rome SF,W vsKontaveit,29.6%,38.9%,55.6%,35.1%,48.6%,50.0%,41.2%,45.0%,33.3%,20.0%,20.0%,66.7%,0.0%,44.4%,-,38
Elina Svitolina,2018 Rome R16,W vsKasatkina,4.7%,23.4%,48.3%,5.0%,35.0%,57.9%,52.9%,60.9%,66.7%,4.3%,4.3%,31.8%,0.0%,90.9%,100.0%,-71
Elina Svitolina,2018 Madrid R32,L vsSuarez Navarro,16.3%,31.4%,55.7%,20.0%,36.7%,58.3%,45.8%,66.7%,100.0%,8.3%,20.8%,50.0%,0.0%,66.7%,100.0%,-30
Elina Svitolina,2018 Miami R64,W vsOsaka,27.8%,44.4%,63.2%,37.5%,57.5%,64.0%,20.0%,40.0%,0.0%,0.0%,7.7%,61.5%,0.0%,12.5%,0.0%,-119
Elina Svitolina,2018 Dubai F,W vsKasatkina,8.2%,16.3%,68.2%,10.7%,25.0%,68.0%,46.2%,40.0%,0.0%,5.0%,5.0%,68.4%,0.0%,60.0%,-,-64
Elina Svitolina,2018 Australian Open QF,L vsMertens,21.2%,28.8%,31.7%,29.6%,40.7%,31.6%,42.9%,38.5%,50.0%,12.0%,16.0%,31.8%,0.0%,28.6%,50.0%,-104
Elina Svitolina,2018 Australian Open R32,W vsKostyuk,50.0%,55.3%,47.4%,51.9%,59.3%,53.8%,33.3%,40.0%,0.0%,45.5%,45.5%,33.3%,0.0%,0.0%,-,-104
Elina Svitolina,2018 Australian Open R64,W vsSiniakova,27.2%,31.5%,46.9%,39.6%,47.2%,46.9%,42.3%,22.2%,20.0%,11.1%,11.1%,46.9%,0.0%,23.8%,0.0%,-11
Elina Svitolina,2018 Brisbane F,W vsSasnovich,45.5%,54.5%,59.1%,62.1%,75.9%,63.6%,40.0%,52.6%,-,15.4%,15.4%,54.5%,14.3%,100.0%,-,35
Elina Svitolina,2018 Brisbane SF,W vsPliskova,24.3%,41.4%,46.2%,23.5%,45.1%,51.3%,40.0%,42.3%,25.0%,27.8%,33.3%,30.8%,0.0%,30.0%,0.0%,-40
Elina Svitolina,2018 Brisbane R16,W vsKonjuh,27.5%,37.3%,50.0%,37.0%,51.9%,47.1%,45.5%,56.3%,40.0%,17.4%,21.7%,52.6%,9.1%,58.3%,-,-54
Elina Svitolina,2018 Brisbane R32,W vsSuarez Navarro,31.6%,36.8%,44.9%,47.7%,54.5%,60.9%,43.5%,61.9%,66.7%,10.3%,13.8%,30.8%,0.0%,77.8%,50.0%,-11
Elina Svitolina,2017 Singapore RR,W vsHalep,15.8%,22.8%,66.0%,23.1%,33.3%,60.0%,47.1%,45.5%,-,0.0%,0.0%,76.5%,0.0%,77.8%,100.0%,-119
Elina Svitolina,2017 Hong Kong R32,W vsDiyas,36.8%,47.1%,46.2%,43.2%,56.8%,48.0%,47.4%,48.0%,50.0%,30.0%,35.0%,42.9%,0.0%,69.2%,100.0%,97
Elina Svitolina,2017 Beijing R16,W vsVesnina,26.5%,36.8%,64.4%,31.6%,50.0%,73.1%,40.0%,55.6%,60.0%,24.0%,24.0%,52.6%,0.0%,46.2%,100.0%,97
Elina Svitolina,2017 Beijing R32,W vsBarty,35.6%,48.9%,64.3%,40.7%,55.6%,75.0%,41.7%,46.7%,-,29.4%,41.2%,50.0%,0.0%,55.6%,100.0%,-37
Elina Svitolina,2017 US Open R16,L vsKeys,27.6%,34.7%,42.4%,32.2%,42.4%,52.5%,32.1%,54.8%,0.0%,25.7%,28.6%,26.9%,13.3%,40.0%,100.0%,47
Elina Svitolina,2017 Toronto F,W vsWozniacki,19.6%,26.8%,50.0%,28.6%,42.9%,55.0%,61.5%,66.7%,100.0%,12.0%,12.0%,45.5%,11.1%,25.0%,0.0%,5
Elina Svitolina,2017 Toronto SF,W vsHalep,26.2%,35.7%,60.7%,40.0%,52.0%,73.3%,33.3%,0.0%,0.0%,7.1%,14.3%,46.2%,0.0%,85.7%,100.0%,-51
Elina Svitolina,2017 Toronto QF,W vsMuguruza,20.0%,29.4%,50.0%,27.9%,39.5%,45.2%,52.6%,25.0%,25.0%,13.9%,22.2%,54.8%,6.3%,15.0%,0.0%,18
Elina Svitolina,2017 Toronto R32,W vsKasatkina,10.3%,19.5%,45.3%,12.8%,27.7%,56.1%,42.1%,42.9%,33.3%,8.1%,10.8%,32.4%,10.5%,50.0%,100.0%,-32
Elina Svitolina,2017 Wimbledon R16,L vsOstapenko,26.3%,27.5%,30.9%,37.5%,40.0%,36.0%,36.8%,76.2%,75.0%,16.7%,16.7%,26.7%,17.6%,5.3%,0.0%,17
Elina Svitolina,2017 Wimbledon R32,W vsWitthoeft,23.1%,42.3%,53.8%,25.0%,50.0%,59.3%,46.2%,52.2%,66.7%,20.0%,26.7%,41.7%,10.0%,0.0%,0.0%,-28
Elina Svitolina,2017 Wimbledon R64,W vsSchiavone,34.9%,48.8%,57.7%,50.0%,66.7%,41.7%,33.3%,41.7%,0.0%,17.6%,29.4%,71.4%,14.3%,0.0%,-,23
Elina Svitolina,2017 Wimbledon R128,W vsBarty,20.4%,34.0%,55.3%,25.9%,44.8%,58.1%,30.8%,43.8%,33.3%,15.4%,23.1%,51.5%,0.0%,4.3%,25.0%,35
Elina Svitolina,2017 Birmingham R16,L vsGiorgi,22.9%,32.4%,35.1%,26.2%,36.9%,31.3%,48.5%,34.4%,80.0%,21.2%,30.3%,42.3%,35.3%,12.5%,0.0%,83
Elina Svitolina,2017 Roland Garros QF,L vsHalep,14.4%,20.7%,48.4%,18.6%,24.3%,54.4%,41.2%,50.0%,58.3%,7.7%,15.4%,38.9%,27.8%,38.1%,25.0%,-45
Elina Svitolina,2017 Roland Garros R16,W vsMartic,14.7%,21.6%,52.4%,17.1%,25.7%,55.2%,25.8%,43.6%,83.3%,11.1%,14.8%,45.8%,6.3%,18.2%,0.0%,-11
Elina Svitolina,2017 Roland Garros R64,W vsPironkova,13.9%,31.9%,56.1%,18.6%,48.8%,60.0%,44.4%,56.0%,50.0%,8.3%,8.3%,50.0%,15.4%,36.4%,-,-39
Elina Svitolina,2017 Rome F,W vsHalep,17.9%,22.6%,49.4%,24.4%,29.5%,54.2%,33.3%,42.9%,50.0%,0.0%,4.2%,37.5%,10.0%,85.7%,100.0%,-119
Elina Svitolina,2017 Rome QF,W vsPliskova,26.8%,35.2%,49.0%,37.0%,47.8%,51.7%,22.2%,53.6%,33.3%,8.3%,12.5%,45.5%,0.0%,20.0%,33.3%,-56
Elina Svitolina,2017 Istanbul F,W vsMertens,23.5%,35.3%,51.4%,23.5%,41.2%,50.0%,43.8%,44.4%,50.0%,26.7%,26.7%,54.5%,0.0%,55.6%,0.0%,38
Elina Svitolina,2017 Fed Cup RR,L vsGoerges,22.2%,34.6%,48.3%,25.4%,41.3%,53.2%,39.4%,60.0%,57.1%,13.3%,13.3%,30.8%,0.0%,36.4%,33.3%,9
Elina Svitolina,2017 Fed Cup RR,W vsKerber,19.4%,32.8%,50.9%,22.7%,40.9%,61.8%,40.0%,50.0%,100.0%,13.6%,18.2%,31.6%,72.7%,18.2%,33.3%,-51
Elina Svitolina,2017 Dubai F,W vsWozniacki,16.7%,29.6%,60.5%,20.6%,35.3%,59.3%,70.6%,41.2%,50.0%,11.1%,22.2%,62.5%,12.5%,80.0%,100.0%,-4
Elina Svitolina,2017 Dubai R16,W vsMcHale,15.9%,26.1%,58.8%,23.1%,38.5%,60.0%,32.0%,48.1%,33.3%,6.7%,10.0%,57.1%,0.0%,70.6%,50.0%,-51
Elina Svitolina,2017 Brisbane SF,L vsPliskova,24.0%,42.0%,53.1%,36.7%,63.3%,63.2%,50.0%,62.5%,66.7%,7.1%,14.3%,38.5%,0.0%,0.0%,0.0%,-61
Elina Svitolina,2016 Zhuhai SF,W vsKonta,23.1%,33.3%,50.9%,29.6%,42.6%,60.5%,39.1%,71.0%,-,9.5%,14.3%,31.6%,0.0%,25.0%,0.0%,-23
Elina Svitolina,2016 Zhuhai RR,W vsVesnina,24.3%,35.1%,53.7%,27.1%,39.6%,51.4%,20.0%,46.4%,40.0%,20.8%,29.2%,57.9%,0.0%,36.4%,50.0%,-11
Elina Svitolina,2016 Beijing R16,W vsKerber,18.7%,21.3%,55.9%,21.4%,26.2%,69.7%,25.0%,50.0%,0.0%,16.1%,16.1%,38.5%,42.9%,23.5%,40.0%,-31
Elina Svitolina,2016 US Open R32,L vsKvitova,13.1%,21.3%,42.9%,15.0%,25.0%,50.0%,15.0%,15.0%,33.3%,11.8%,17.6%,26.7%,16.7%,9.1%,0.0%,-9
Elina Svitolina,2016 New Haven F,L vsRadwanska,5.2%,13.8%,41.5%,5.7%,20.0%,39.4%,28.6%,57.1%,50.0%,4.8%,4.8%,45.0%,0.0%,62.5%,-,-69
Elina Svitolina,2016 Montreal R32,W vsAbanda,19.5%,31.2%,45.6%,27.9%,44.2%,48.4%,13.3%,53.6%,50.0%,10.3%,17.2%,42.3%,8.3%,35.3%,0.0%,-17
Elina Svitolina,2016 Rome R64,L vsPuig,23.5%,25.9%,39.0%,27.1%,29.2%,42.9%,27.3%,53.8%,66.7%,20.0%,23.3%,33.3%,0.0%,26.7%,16.7%,6
Elina Svitolina,2016 Indian Wells R64,W vsBeck,17.4%,21.7%,64.7%,24.6%,31.6%,65.1%,33.3%,30.0%,25.0%,7.4%,7.4%,64.0%,10.0%,52.9%,0.0%,-53
Elina Svitolina,2016 Australian Open R64,L vsOsaka,17.5%,22.8%,48.9%,21.9%,31.3%,44.0%,50.0%,50.0%,0.0%,12.0%,12.0%,54.5%,21.4%,45.5%,0.0%,-104
Elina Svitolina,2015 Zhuhai SF,L vsPliskova,24.4%,35.6%,40.0%,28.1%,43.8%,47.8%,18.8%,50.0%,100.0%,22.2%,22.2%,14.3%,50.0%,20.0%,100.0%,58
Elina Svitolina,2015 Zhuhai RR,W vsSuarez Navarro,19.2%,25.0%,44.1%,21.7%,28.9%,53.8%,29.3%,52.4%,70.0%,15.2%,18.2%,21.4%,20.0%,77.8%,75.0%,27
Elina Svitolina,2015 Cincinnati SF,L vsWilliams,23.3%,25.0%,35.6%,28.6%,31.4%,28.0%,37.5%,21.1%,40.0%,16.7%,16.7%,45.0%,7.1%,20.0%,25.0%,-56
Elina Svitolina,2015 Cincinnati QF,W vsSafarova,26.3%,35.5%,52.8%,31.9%,44.7%,50.0%,30.0%,40.7%,100.0%,19.2%,23.1%,57.1%,57.1%,8.3%,0.0%,21
Elina Svitolina,2015 Cincinnati R16,W vsGarcia,27.3%,31.8%,60.0%,30.0%,33.3%,61.9%,35.7%,31.3%,0.0%,25.0%,33.3%,55.6%,20.0%,14.3%,-,68
Elina Svitolina,2015 Cincinnati R64,W vsRiske Amritraj,19.0%,22.8%,54.2%,22.4%,28.6%,57.9%,22.7%,25.9%,0.0%,16.0%,16.0%,47.6%,14.3%,36.4%,66.7%,35
Elina Svitolina,2015 Stanford SF,L vsKerber,10.3%,12.8%,27.3%,8.3%,12.5%,27.3%,21.4%,40.0%,50.0%,15.4%,15.4%,27.3%,33.3%,0.0%,0.0%,35
Elina Svitolina,2015 Stanford R32,W vsBondarenko,19.3%,27.2%,46.7%,19.7%,31.0%,50.9%,51.9%,22.7%,0.0%,18.6%,20.9%,40.0%,0.0%,21.1%,0.0%,-104
Elina Svitolina,2015 Wimbledon R128,W vsDoi,26.0%,32.5%,43.4%,29.8%,40.4%,42.4%,25.0%,34.8%,33.3%,23.1%,23.1%,45.0%,40.0%,0.0%,0.0%,57
Elina Svitolina,2015 Roland Garros QF,L vsIvanovic,18.9%,26.4%,37.2%,22.9%,25.7%,33.3%,13.3%,70.0%,100.0%,11.1%,27.8%,43.8%,18.2%,100.0%,-,-104
Elina Svitolina,2015 Roland Garros R16,W vsCornet,8.0%,8.0%,47.1%,7.5%,7.5%,46.9%,31.6%,38.2%,20.0%,9.5%,9.5%,47.4%,8.3%,11.1%,0.0%,-49
Elina Svitolina,2015 Roland Garros R64,W vsPutintseva,11.0%,20.3%,45.1%,13.6%,24.7%,50.0%,46.2%,54.8%,83.3%,5.9%,11.8%,34.4%,11.8%,35.3%,50.0%,-55
Elina Svitolina,2015 Rome R64,W vsPennetta,24.0%,30.0%,56.8%,36.7%,36.7%,57.9%,28.6%,37.5%,-,5.3%,21.1%,55.6%,0.0%,40.0%,0.0%,-61
Elina Svitolina,2015 Marrakech F,W vsBabos,35.2%,42.0%,42.9%,40.7%,49.2%,48.6%,40.7%,53.1%,57.1%,25.0%,28.6%,33.3%,0.0%,87.5%,0.0%,-62
Elina Svitolina,2015 Indian Wells R16,L vsBacsinszky,11.6%,15.1%,41.1%,10.9%,14.5%,40.8%,32.3%,20.8%,0.0%,14.3%,17.9%,41.7%,57.1%,9.5%,0.0%,13
Elina Svitolina,2015 Dubai R32,L vsKvitova,26.3%,28.9%,28.8%,31.4%,35.3%,25.7%,40.9%,24.1%,20.0%,19.0%,19.0%,35.3%,18.2%,30.0%,33.3%,65
Elina Svitolina,2015 Brisbane SF,L vsSharapova,19.4%,20.9%,38.0%,26.1%,28.3%,47.1%,21.1%,22.2%,11.1%,5.9%,5.9%,18.8%,0.0%,25.0%,-,-64
Elina Svitolina,2015 Brisbane QF,W vsKerber,21.4%,30.1%,48.8%,26.3%,40.4%,57.1%,42.3%,19.4%,25.0%,15.6%,17.8%,39.5%,31.8%,17.4%,0.0%,-78
Elina Svitolina,2015 Brisbane R32,W vsRybarikova,25.9%,32.8%,52.4%,27.5%,32.5%,51.7%,61.1%,45.5%,66.7%,23.5%,35.3%,53.8%,0.0%,75.0%,50.0%,-37
Elina Svitolina,2014 Osaka SF,L vsStosur,28.8%,32.2%,41.0%,26.8%,31.7%,43.3%,52.6%,31.8%,33.3%,40.0%,40.0%,33.3%,80.0%,30.0%,100.0%,97
Elina Svitolina,2014 Wuhan SF,L vsKvitova,22.4%,25.4%,46.0%,24.4%,28.9%,52.9%,50.0%,14.3%,0.0%,20.0%,20.0%,31.3%,37.5%,0.0%,0.0%,6
Elina Svitolina,2014 Wuhan QF,W vsKerber,12.3%,18.5%,50.7%,17.4%,28.3%,55.3%,43.5%,21.7%,50.0%,6.1%,6.1%,45.2%,100.0%,0.0%,0.0%,-68
Elina Svitolina,2014 Tokyo R32,W vsStrycova,26.0%,32.0%,48.6%,18.8%,28.1%,50.0%,33.3%,35.3%,-,43.8%,43.8%,44.4%,0.0%,11.1%,0.0%,30
Elina Svitolina,2014 Cincinnati QF,L vsIvanovic,16.3%,20.4%,39.5%,25.9%,33.3%,45.0%,23.1%,71.4%,83.3%,5.3%,5.3%,33.3%,0.0%,50.0%,-,-66
Elina Svitolina,2014 Cincinnati R32,W vsKvitova,35.8%,38.8%,42.9%,38.9%,44.4%,45.5%,26.3%,35.3%,50.0%,33.3%,33.3%,40.0%,15.4%,41.2%,33.3%,-65
Elina Svitolina,2014 Baku QF,W vsParmentier,16.4%,26.0%,51.7%,22.2%,35.6%,60.0%,52.2%,45.5%,25.0%,7.4%,11.1%,40.0%,18.2%,31.3%,33.3%,-61
Elina Svitolina,2014 Istanbul QF,L vsKonjuh,25.6%,29.3%,41.1%,34.0%,40.4%,48.4%,28.0%,36.4%,33.3%,16.7%,16.7%,32.0%,0.0%,27.8%,100.0%,46
Elina Svitolina,2014 Roland Garros R64,L vsIvanovic,17.2%,28.1%,34.7%,25.0%,40.6%,37.5%,28.6%,44.4%,25.0%,10.7%,17.9%,32.0%,14.3%,71.4%,0.0%,-11
Elina Svitolina,2014 Indian Wells R64,L vsIvanovic,21.7%,24.5%,48.0%,27.3%,32.7%,50.0%,35.7%,40.7%,100.0%,18.6%,18.6%,45.7%,23.5%,50.0%,100.0%,62
Elina Svitolina,2014 Fed Cup RR,L vsHalep,8.3%,15.5%,43.2%,9.6%,19.2%,48.9%,40.7%,36.0%,42.9%,6.9%,10.3%,33.3%,33.3%,50.0%,50.0%,-47
Elina Svitolina,2014 Australian Open R32,L vsStephens,23.1%,27.7%,50.0%,23.7%,28.9%,51.7%,52.6%,26.3%,25.0%,26.1%,30.4%,47.1%,10.0%,15.4%,0.0%,75
