Player,Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
Iga Swiatek,2024 Miami R32,W vsNoskova,13.3%,31.6%,61.0%,15.1%,37.0%,61.3%,53.3%,4.7%,0.0%,9.1%,18.2%,60.0%,0.0%,83.3%,100.0%,-27
Iga Swiatek,2024 Miami R64,W vsGiorgi,28.6%,47.6%,65.5%,34.6%,53.8%,64.7%,41.7%,21.4%,0.0%,20.0%,40.0%,66.7%,0.0%,37.5%,-,-28
Iga Swiatek,2024 Indian Wells F,W vsSakkari,30.2%,37.2%,64.3%,34.5%,41.4%,63.2%,38.5%,31.3%,0.0%,25.0%,33.3%,66.7%,0.0%,85.7%,-,68
Iga Swiatek,2024 Indian Wells SF,W vsKostyuk,15.4%,20.5%,69.7%,17.2%,24.1%,79.2%,60.0%,14.3%,-,10.0%,10.0%,44.4%,0.0%,100.0%,-,-104
Iga Swiatek,2024 Indian Wells R16,W vsPutintseva,25.6%,37.2%,58.1%,33.3%,43.3%,60.0%,76.9%,23.5%,0.0%,8.3%,25.0%,54.5%,0.0%,100.0%,100.0%,-30
Iga Swiatek,2024 Indian Wells R32,W vsNoskova,24.1%,42.6%,52.5%,17.6%,44.1%,57.1%,38.1%,30.8%,0.0%,36.8%,42.1%,41.7%,0.0%,71.4%,100.0%,-43
Iga Swiatek,2024 Indian Wells R64,W vsCollins,38.1%,46.0%,45.9%,42.2%,51.1%,50.0%,61.9%,25.0%,0.0%,31.3%,37.5%,36.4%,0.0%,40.0%,-,30
Iga Swiatek,2024 Dubai SF,L vsKalinskaya,23.7%,37.3%,44.2%,30.8%,43.6%,51.9%,58.8%,31.8%,0.0%,11.1%,27.8%,31.3%,0.0%,28.6%,0.0%,-4
Iga Swiatek,2024 Dubai QF,W vsZheng,26.2%,39.3%,55.6%,28.2%,43.6%,64.3%,66.7%,25.0%,0.0%,22.7%,31.8%,41.2%,33.3%,50.0%,0.0%,-104
Iga Swiatek,2024 Dubai R16,W vsSvitolina,22.4%,32.8%,51.2%,32.5%,45.0%,51.9%,77.3%,33.3%,33.3%,0.0%,6.3%,50.0%,0.0%,66.7%,50.0%,-119
Iga Swiatek,2024 Dubai R32,W vsStephens,25.4%,34.3%,46.8%,35.7%,40.5%,40.7%,36.4%,40.0%,33.3%,9.1%,27.3%,55.0%,14.3%,86.7%,100.0%,-27
