Player,Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
Iga Swiatek,2024 Miami R32,W vsNoskova,75.8%,48.0%,4.0%,3/1,2.46,11.3%,76.4%,42.9%,5.5%,2.35,15.0%,82.5%,54.5%,2.5%,2.79,0.0%
Iga Swiatek,2024 Miami R64,W vsGiorgi,66.7%,53.1%,4.2%,0/2,2.27,10.3%,75.9%,54.5%,0.0%,2.44,17.6%,100.0%,50.0%,20.0%,2.03,0.0%
Iga Swiatek,2024 Indian Wells F,W vsSakkari,86.4%,63.2%,2.3%,0/1,2.58,7.4%,81.5%,68.2%,3.7%,2.36,11.1%,100.0%,56.3%,0.0%,3.02,0.0%
Iga Swiatek,2024 Indian Wells SF,W vsKostyuk,76.9%,60.0%,3.8%,1/1,2.54,9.1%,76.9%,50.0%,3.8%,2.50,12.5%,90.9%,70.0%,4.5%,2.64,0.0%
Iga Swiatek,2024 Indian Wells R16,W vsPutintseva,77.2%,68.2%,5.3%,2/1,2.52,12.9%,88.6%,67.7%,8.6%,2.43,15.0%,72.2%,69.2%,0.0%,2.68,9.1%
Iga Swiatek,2024 Indian Wells R32,W vsNoskova,57.8%,73.1%,2.2%,1/0,2.48,12.5%,66.7%,77.8%,3.7%,2.36,17.9%,72.7%,62.5%,0.0%,2.77,0.0%
Iga Swiatek,2024 Indian Wells R64,W vsCollins,65.9%,58.6%,4.5%,2/0,2.63,2.7%,68.8%,72.7%,6.3%,2.59,3.8%,85.7%,50.0%,4.8%,2.72,0.0%
Iga Swiatek,2024 Dubai SF,L vsKalinskaya,67.6%,60.0%,5.4%,2/2,2.44,14.0%,64.0%,56.3%,6.0%,2.52,18.5%,75.0%,66.7%,4.2%,2.30,6.3%
Iga Swiatek,2024 Dubai QF,W vsZheng,71.7%,57.6%,13.0%,4/2,2.48,17.8%,68.2%,33.3%,9.1%,2.30,28.6%,78.3%,77.8%,17.4%,2.78,0.0%
Iga Swiatek,2024 Dubai R16,W vsSvitolina,76.9%,67.5%,0.0%,0/0,2.63,11.6%,67.7%,61.9%,0.0%,2.24,18.5%,95.0%,73.7%,0.0%,3.28,0.0%
Iga Swiatek,2024 Dubai R32,W vsStephens,87.5%,54.3%,0.0%,0/0,2.32,8.5%,89.7%,53.8%,0.0%,2.31,14.8%,94.7%,55.6%,0.0%,2.34,0.0%
Iga Swiatek,2024 Doha F,W vsRybakina,76.9%,61.7%,5.1%,2/2,2.41,1.5%,73.8%,51.6%,9.5%,2.53,2.0%,85.3%,72.4%,0.0%,2.01,0.0%
